,title,isbn,booktype,author,rating,ratingCount,reviewCount,year,genres
68,One Flew Over the Cuckoo's Nest,9780451163967,books.book,https://www.goodreads.com/author/show/7285.Ken_Kesey,4.19,572947,9602,1962,classics|fiction|literature|psychology
69,My Sister's Keeper,9780743454537,books.book,https://www.goodreads.com/author/show/7128.Jodi_Picoult,4.07,981296,32544,2004,fiction|contemporary|womens-fiction|chick-lit
70,The Bell Jar,9780061148514,books.book,https://www.goodreads.com/author/show/4379.Sylvia_Plath,3.99,520934,19824,1963,classics|fiction|feminism
71,"Outlander (Outlander, #1)",9780440242949,books.book,https://www.goodreads.com/author/show/3617.Diana_Gabaldon,4.22,720110,42253,1991,historical|historical-fiction|romance|fantasy|fiction|science-fiction|time-travel|historical|romance|historical-romance
72,"The Girl with the Dragon Tattoo (Millennium, #1)",null,books.book,https://www.goodreads.com/author/show/706255.Stieg_Larsson,4.13,2309973,66092,2005,fiction|mystery|thriller|mystery|crime
73,Rebecca,9780316323703,books.book,https://www.goodreads.com/author/show/2001717.Daphne_du_Maurier,4.22,392629,19579,1938,classics|fiction|mystery|romance|gothic
74,Matilda,9780141301068,books.book,https://www.goodreads.com/author/show/4273.Roald_Dahl,4.30,530436,14119,1988,childrens|fiction|fantasy|classics
75,"The Fellowship of the Ring (The Lord of the Rings, #1)",9780618346257,books.book,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,4.35,2117284,19035,1954,fantasy|classics|fiction
76,Little Women,9780451529305,books.book,https://www.goodreads.com/author/show/1315.Louisa_May_Alcott,4.06,1472080,19952,1868,classics|fiction|historical|historical-fiction|young-adult
77,A Tree Grows in Brooklyn,9780061120077,books.book,https://www.goodreads.com/author/show/2327917.Betty_Smith,4.26,352440,18596,1943,classics|fiction|historical|historical-fiction|young-adult
78,The Color Purple,9780671727796,books.book,https://www.goodreads.com/author/show/7380.Alice_Walker,4.19,463103,12541,1982,classics|fiction|historical|historical-fiction|feminism
79,A Clockwork Orange,9780393312836,books.book,https://www.goodreads.com/author/show/5735.Anthony_Burgess,3.99,537459,12069,1962,classics|fiction|science-fiction|science-fiction|dystopia
80,The Road,9780307265432,books.book,https://www.goodreads.com/author/show/4178.Cormac_McCarthy,3.96,645097,42795,2006,fiction|science-fiction|science-fiction|dystopia|apocalyptic|post-apocalyptic
81,The Brothers Karamazov,9780374528379,books.book,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoyevsky,4.31,211706,9385,1879,classics|fiction|cultural|russia|literature|literature|russian-literature
82,"Angela's Ashes (Frank McCourt, #1)",9780007205233,books.book,https://www.goodreads.com/author/show/3347.Frank_McCourt,4.10,489989,11070,1996,non-fiction|autobiography|memoir|biography
83,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",9780545010221,books.book,https://www.goodreads.com/author/show/1077326.J_K_Rowling,4.62,2358240,59902,2007,fantasy|young-adult|fiction
84,"Dune (Dune Chronicles, #1)",9780340839935,books.book,https://www.goodreads.com/author/show/58.Frank_Herbert,4.22,625948,17006,1965,science-fiction|fiction|fantasy|classics
85,Vampire Academy (Vampire Academy #1),null,books.book,https://www.goodreads.com/author/show/137902.Richelle_Mead,4.13,507203,21158,2007,young-adult|paranormal|vampires|fantasy|fantasy|paranormal|romance
86,The Poisonwood Bible,9780060786502,books.book,https://www.goodreads.com/author/show/3541.Barbara_Kingsolver,4.05,617067,21965,1998,fiction|historical|historical-fiction|cultural|africa|classics
87,Siddhartha,null,books.book,https://www.goodreads.com/author/show/1113469.Hermann_Hesse,4.01,505749,14824,1922,classics|fiction|philosophy|religion|literature|spirituality|religion|buddhism|european-literature|german-literature|novels|historical|historical-fiction
88,Fahrenheit 451,9780007491568,books.book,https://www.goodreads.com/author/show/1630.Ray_Bradbury,3.98,1434675,41019,1953,classics|fiction|science-fiction|science-fiction|dystopia|literature|academic|school|novels|fantasy|science-fiction-fantasy|adult
89,Atlas Shrugged,9780452011878,books.book,https://www.goodreads.com/author/show/432.Ayn_Rand,3.68,331619,16254,1957,fiction|classics|philosophy|literature|politics
90,"The Golden Compass (His Dark Materials, #1)",9780679879244,books.book,https://www.goodreads.com/author/show/3618.Philip_Pullman,3.96,1148425,18364,1995,fantasy|young-adult|fiction|childrens|adventure|science-fiction|science-fiction-fantasy|science-fiction|steampunk|classics|childrens|middle-grade
91,Don Quixote,9780142437230,books.book,https://www.goodreads.com/author/show/4037220.Miguel_de_Cervantes_Saavedra,3.87,183605,6843,1605,classics|fiction|literature|european-literature|spanish-literature
92,1984,null,books.book,https://www.goodreads.com/author/show/3706.George_Orwell,4.17,2632601,58898,1949,classics|fiction|science-fiction|science-fiction|dystopia
93,The Old Man and the Sea,9780684830490,books.book,https://www.goodreads.com/author/show/1455.Ernest_Hemingway,3.76,714699,21352,1952,classics|fiction|literature|novels
94,"The Notebook (The Notebook, #1)",9780553816716,books.book,https://www.goodreads.com/author/show/2345.Nicholas_Sparks,4.08,1191705,18915,1996,romance|fiction|womens-fiction|chick-lit|contemporary
95,Great Expectations,9780141439563,books.book,https://www.goodreads.com/author/show/239579.Charles_Dickens,3.77,590005,14416,1861,classics|fiction|literature|historical|historical-fiction
96,Anna Karenina,9780143035008,books.book,https://www.goodreads.com/author/show/128382.Leo_Tolstoy,4.04,579708,21213,1877,classics|fiction|cultural|russia|romance
97,The Complete Stories and Poems,9780385074070,books.book,https://www.goodreads.com/author/show/4624490.Edgar_Allan_Poe,4.38,196849,2138,1849,classics|poetry|horror|fiction|short-stories
